regex,nl
\b([A-Za-z].*dog.*)(.*)\b,lines with words starting with a letter followed by string 'dog'
(((dog).*(truck).*)|(ring))(.*),lines starting with string 'dog' before 'truck' or 'ring'
(([0-9])|([A-Z])|(dog)).*([AEIOUaeiou]).*,"lines with a number, capital letter, or string 'dog' before a vowel"
~(\b([A-Z])+\b),lines without words with a capital letter at least once
(.*)(([A-Z])|(dog)),lines that end with a capital letter or 'dog'
~((.)&([0-9])&([a-z])),"lines without a character, a number, or a lower-case letter"
"([a-z].*[0-9].*){3,}",lines with 3 or more of a lower-case letter before number
~([A-Za-z].*dog.*),"lines not having a letter followed by string ""dog"""
([0-9]).*(~([a-z])).*,lines with a number before a capital letter
"([0-9]).*((.){3,}).*",Items with a numeral preceding a character at least thrice.
.*([A-Za-z])&([0-9])&([A-Z]).*,Items with any letter or numeral.
"(([0-9]){5,})(.*)",lines that start with 5 or more numbers
\b([A-Za-z])&(dog)&(truck)\b,"lines with words and a letter, the the strings 'dog' and 'truck'"
([A-Za-z]).*(.*(dog)|(.).*).*,lines with a letter followed by 'dog' or a character
~(\b[A-Za-z]\b),lines without words and only a letter
\b(dog)&(.)&([A-Za-z])\b,"lines with words with the string 'dog', a character, and a letter in them"
"(.*dog.*)|(([a-z]){4,})",lines containing 4 or more words 'dog' or a lower-case letter
((dog).*([0-9]).*)&((truck)|(.)|([A-Z])),"lines with the string 'dog' before a number and the string 'truck', character, or capital letter"
((dog)*)&(([a-z])|(truck)),lines with zero or more of string 'dog' and a lower-case letter or string 'truck'
~(([A-Za-z])&([AEIOUaeiou])),lines which are not containing only a letter and not a vowel
((dog)|([A-Z])|([0-9])).*(truck).*,"lines with the string 'dog', capital letter, or number before string 'truck'"
.*(.*)((.)+).*,lines ending with a character 1 or more times
((dog)|(.)|(truck)).*([A-Z]).*,"lines with either the string 'dog', a character, or the string 'truck' followed by a capital letter"
"(dog.*[A-Za-z].*){7,}",Identify lines that contain the string 'dog' then any letter repeated 7 times
(dog.*..*).*([a-z]).*,Lines with a lower-case letter after the string 'dog' followed by a character
((.)|(dog)|([A-Z])).*([AEIOUaeiou]).*,"Lines with a character, 'dog', or a capital letter, before a vowel."
(dog).*([0-9].*[a-z].*).*,"lines with the string named 'dog' preceding a number and after that, a small letter"
(dog.*[AEIOUaeiou].*).*(truck).*,lines with the string 'dog' before a vowel then the string 'truck'
\b(.*)([a-z])\b,lines with words ending with a lower-case letter
.*([A-Za-z])&(dog)&([AEIOUaeiou]).*,"Lines that have 3 things in them:  a letter, the string 'dog', and a vowel."
(\b(.*)([A-Z])\b)(.*),lines starting with words ending with a capital letter
.*(dog)&([0-9]).*,lines that have only the word 'dog' and any number
([0-9]).*(([A-Z])|(dog)).*,lines with a number before capital letter or string 'dog'
(([A-Za-z])(.*)).*((dog)|([A-Z])|([0-9])).*,"lines with a letter before the string 'dog', capital letter, or number"
((dog)|([AEIOUaeiou])).*([A-Z]).*,lines that contain the string 'dog' or contain a vowel followed by a capital letter
.*(.)|([a-z]).*,lines with a character or lower-case letter
(\b(.)&(dog)&(truck)\b)+,"lines that contain words that have a character, the string 'dog' or at least one 'truck'"
\b((dog)|([0-9]))&([AEIOUaeiou])\b,lines with words and the string 'dog' or a number or vowel
"~((dog){3,})",lines without only 3 or more of the string 'dog'
"(dog){4,}",lines that contain 4 or more times the string 'dog'
(([a-z])|([0-9])|(dog)).*(.).*,"lines that have a character followed by either the word ""dog"", a number, or a lower-case letter"
\b(dog)&([AEIOUaeiou])&([A-Z])\b,"Lines containing the string 'dog', a vowel, and a capital letter"
\b([A-Za-z])&(dog)&(.)\b,"lines containing a letter, the string 'dog', and a character"
".*(([A-Za-z]){3,}).*(dog).*.*",lines with a letter before the string 'dog' at least 3 times
.*[A-Z].*[a-z].*.*,lines with a capital letter and a lower-case letter following it
([A-Za-z]).*(([0-9])&(dog)).*,lines with a letter before a number and string 'dog'
"(([A-Z]){3,})|(.*dog.*)",lines with 3 or more letters or the string 'dog'
((dog)|([A-Z])|([0-9])).*(.).*,"lines having either string 'dog', capital letter, or number before character"
"([a-z]).*((.){6,}).*","lines with lower-case letter before character, 6 or more times"
(.*)(([A-Za-z].*dog.*)*),lines end with a letter followed by 0 or more of the string 'dog'
"((dog){6,}).*(.).*","lines with the string 'dog', 6 or more times before a character in them"
"(([0-9]){6,}).*([A-Za-z]).*",lines with 6 or more numbers before a letter
(([a-z])|(.)|(dog)).*([A-Z]).*,"lines that contain a lower-case letter, a character, or the string 'dog' followed by a capital letter"
\b([A-Z])|([A-Za-z])\b,lines with words with or without capital letters
((dog)&(truck)).*([a-z]).*,lines with a lower case letter preceded by the string 'dog' and the string 'truck'
(([A-Za-z])&(.)).*([0-9]).*,Items with a character and a letter preceding a numeral.
(([a-z])&(dog)&([A-Za-z])).*(truck).*,Items with 'truck' following 'dog' and letter and a small letter.
(([AEIOUaeiou])+).*([0-9]).*,lines with a vowel before a number at least once
(.*)((.*dog.*)|([A-Za-z])),lines that end with the word 'dog' or a letter
([A-Za-z]).*((.)&([0-9])).*,"lines with a number, and letter before a character"
"~(([AEIOUaeiou].*dog.*){6,})",lines with less than 6 of a vowel before the string 'dog'
([0-9]).*([AEIOUaeiou].*[A-Z].*).*,lines with a number before vowel then capital letter
"(\b~([AEIOUaeiou])\b){2,}",Lines with 2 words that do not contain a vowel
(([AEIOUaeiou])&(dog)&([A-Za-z])).*([0-9]).*,"lines with a vowel, string 'dog', and letter before number"
"(([A-Z]){5,}).*([a-z]).*",lines with 5 or more capital letters before a lower-case letter
(.*[A-Za-z].*)|((dog).*(truck).*),lines which are containing a letter or the string 'dog' before the string 'truck'
"\b(([a-z]){7,})(.*)\b",lines with words and starting in 7 or more of a lower-case letter
((.*)([a-z]))|((dog)&([AEIOUaeiou])),lines ending in lower-case letter or string 'dog' and vowel
"((dog){5,}).*(..*[A-Za-z].*).*",lines with the string 'dog' at least 5 times before a character followed by a letter
(.*[a-z].*)&(([0-9])&([AEIOUaeiou])&(dog)),"A lower case letter, a number, a vowel and the string 'dog' appears in the lines"
(.)(.*),Items beginning with a character.
"([A-Za-z].*[0-9].*){4,}",Items with a letter preceding a numeral at least four times.
"([a-z].*[AEIOUaeiou].*){4,}","lines that have 4 lower-case and vowel combinations, with the letter first"
.*(.)&([A-Za-z])&([a-z]).*,"Items with a small letter, a letter, and a character."
(..*[AEIOUaeiou].*).*(dog).*,lines with the string 'dog' after a character preceding a vowel
"([AEIOUaeiou]).*(([A-Z]){4,}).*","lines with a vowel then a capital, at least 4 times"
"(([a-z]){4,}).*([A-Z]).*","lines with lower-case letter, 4 or more times before capital letter"
.*\b[a-z].*[A-Z].*\b.*,lines with words that have a capital letter coming after a lower-case letter
((([a-z])*)(.*)).*([A-Za-z]).*,lines starting with zero or more of a lower-case letter with a letter
~(([A-Za-z])&([AEIOUaeiou])&([0-9])),"lines with no letter, vowel, or number"
"([a-z]).*(([0-9]){6,}).*",lines with 6 or more of a lower-case letter before number
(.*([A-Z])&(dog).*)+,lines having a capital letter and the string 'dog'
"([AEIOUaeiou].*..*){3,}",lines with 3 or more vowels before characters
.*([a-z])&([A-Z])&([A-Za-z]).*,"lines with a lower-case letter, a capital letter, and a letter"
\b(dog)&(([AEIOUaeiou])+)\b,lines with words with string 'dog' and vowel
.*([0-9])&([AEIOUaeiou])&([A-Z]).*,"lines with a number, vowel, and capital letter"
([AEIOUaeiou]).*(([A-Za-z])|(dog)).*,lines with a vowel followed by a letter or the string 'dog'
\b((dog)*)&([AEIOUaeiou])\b,lines containing the string 'dog' zero or more times and also containing a vowel
"(.*(dog).*(truck).*.*){6,}","lines containing the string 'dog' before the string 'truck', 6 or more times in them"
\b(.*)(([a-z])+)\b,lines with words ending with a lower-case letter
(([A-Z])+).*([A-Za-z].*dog.*).*,lines with a capital t least once before a letter followed by string 'dog'
(([AEIOUaeiou])&([0-9])&([A-Z])).*([a-z]).*,"lines having a vowel, a number, and a lower-case letter"
([A-Za-z]).*((dog)&(truck)&([A-Z])).*,lines with a letter before the string 'dog' and 'truck' and a capital letter
([0-9]).*(([AEIOUaeiou])&([a-z])).*,lines with a number before vowel and lower-case letter
(([a-z])|([0-9]))+,lower case letter or numbers appears at least once in the lines
(([A-Z])&(dog)).*([AEIOUaeiou]).*,Items with a upper case letter and 'dog' preceding a vowel.
~(([0-9])&([A-Za-z])&([a-z])),"lines without a number, a letter, and a lower-case letter"
"(([A-Za-z]){6,}).*([A-Z]).*",lines which have a letter occurring at least six times before a capital letter appears
"(([A-Za-z])|(.)){2,}",Lines containing a letter or a character at least 2 times
.*([0-9])&(dog).*,lines with both a number and the string 'dog'
"((dog)(.*))&((truck){6,})",lines that begin with the strings 'truck' and 'dog' at least six times
([A-Za-z].*..*)+,lines containing a letter followed by a character one or more times
((.*)([a-z])).*([A-Z].*[A-Za-z].*).*,lines ending with a lower-case letter before a capital followed by letter
"([A-Za-z].*[AEIOUaeiou].*){2,}","lines where, twice or more, a vowel is preceded by a letter"
"\b(([a-z]){2,})&(dog)\b",lines containing 2 or more lower-case letters and the string 'dog'
.*(dog)&((.*)([0-9])).*,lines with the string 'dog' ending in number
([0-9]).*((.*)(.*dog.*)).*,lines with a number before ending with containing the string 'dog' in them
(dog).*(\b(truck)*\b).*,lines with zero or more of the string 'dog' before words with string 'truck'
([0-9]).*(~([AEIOUaeiou])).*,lines where the numbers do not precede vowels
(([0-9])&([AEIOUaeiou])&([A-Za-z])).*(dog).*,"lines with a number, a vowel, as well as a letter followed by the string 'dog'"
((.)&([A-Z])).*(.*[0-9].*).*,lines with a character and capital letter before a number
\b(dog)&([AEIOUaeiou])\b,lines that have got words with the 'dog' string in them as well as a vowel
([a-z]).*(([AEIOUaeiou])|(dog)|(truck)).*,"lines containing a lower-case letter that is followed by one of these three: a vowel, the string 'dog', or the string 'truck'"
~(([0-9])|(.)),lines with neither a character nor a number
"((.)|([A-Z])){5,}",lines containing a character or a capital letter at least 5 times
.*([A-Za-z])|([0-9])|([AEIOUaeiou]).*,"lines with a letter, number, or vowel"
"~(((.*)(dog)){2,})","Lines not ending with the string 'dog', two or so times"
\b([A-Za-z])|([A-Z])\b,lines with words with letter or capital letter
(.*)((([A-Z])+)|([AEIOUaeiou])),lines ending with a letter or vowel
"(((.*)(dog)){4,}).*(truck).*",lines with 4 or more of string 'dog' before the string 'truck'
(([A-Z])|(.*dog.*))(.*),lines starting with capital letter or containing string 'dog'
~((dog)&([0-9])&(.)),"lines not having string 'dog', not a number, and not a character"
(~(dog))&([A-Za-z].*..*),lines that doesn't contain 'dog' with a letter before a character
((.*)(.*dog.*)).*([0-9]).*,lines ending in the string 'dog' before number
((dog)|([A-Za-z]))(.*),lines starting with the string 'dog' or only a letter
(.*)(.*(.).*(dog).*.*),lines ending in character before string 'dog'
(dog).*([A-Za-z]).*,lines with string 'dog' before letter
(.).*((.*)([A-Z])).*,Item with a character preceding and ending upper case letter.
\b([0-9])&([AEIOUaeiou])&(.)\b,"Items with words containing a character, a vowel, and a numeral."
.*(~(.)).*(dog).*.*,Items without a character preceding 'dog'.
\b[A-Z].*dog.*\b,lines that have words with a capital letter followed by the string 'dog'
([A-Za-z]).*([a-z].*[0-9].*).*,lines with a letter before a lower-case letter then a number
(([0-9])(.*))&(.*[AEIOUaeiou].*),The lines start with a number and contain a vowel.
~(((.).*(dog).*)&(truck)),lines without the string 'truck' and no characters before the string 'dog
\b(dog).*((.*)(.)).*\b,lines with words with 'dog' before character
(([A-Za-z])|([AEIOUaeiou])).*(.).*,lines with a letter or vowel before character
"(dog.*[AEIOUaeiou].*)&((truck){6,})",lines with the string 'dog' followed by a vowel and string 'truck' at least 6 times
(([A-Z])&(dog)&(truck)).*([AEIOUaeiou]).*,"lines with a capital letter, string 'dog' and 'truck' before a vowel"
"(((dog)|(truck)|([A-Za-z]))|([0-9])){4,}","lines containing either the string 'dog', the string 'truck', a letter, or 4 or more numbers"
~(((.*)(.)).*(dog).*),lines not ending in a character before string 'dog'
(([0-9])+)&((dog)(.*)),lines with a number and starting in string 'dog'
(.*(dog)*.*).*([A-Z]).*,lines with zero or more of the string 'dog' before having capital letter
"([A-Za-z].*..*){6,}","lines with a letter, then a character, at least 6 times"
([AEIOUaeiou]).*([a-z]).*,Lines were vowels come before a lower case letter
(([0-9])&([A-Z])).*([AEIOUaeiou]).*,Lines with a vowel after a number or a capital letter
(dog).*(([A-Za-z])&(.)&([a-z])).*,lines where 'dog' appears before a character
"((dog)|(.)){7,}",lines with 7 or more of the strings 'dog' or characters
((dog)|([AEIOUaeiou])).*(truck).*,lines with the string 'dog' or a vowel and with the string 'truck'
~(((.)+).*(dog).*),lines without a character before string 'dog'
(([A-Za-z])|([a-z])|(dog)).*(truck).*,"lines having either a letter, lower-case letter, or string 'dog' before string 'truck'"
((.*)(dog)).*([a-z].*truck.*).*,lines ending with 'dog' before a lower-case letter 'truck'
\b(([0-9])&(dog)&([A-Za-z])).*(truck).*\b,"lines with words with a number, string 'dog', and letter before string 'truck'"
([A-Z]).*((dog)|([AEIOUaeiou])).*,lines with a capital letter before string 'dog' or vowel
(([a-z])&(dog)&([0-9])).*(truck).*,"lines which are having a lower-case letter, the string 'dog', and a number before the string 'truck'"
"(([AEIOUaeiou])|([A-Za-z])){5,}",Lines with 5 or more vowels or letters
([AEIOUaeiou]).*((dog)*).*,lines containing a vowel before 0 or more of the string 'dog'
\b([a-z])&(.)&([0-9])\b,"lines containinbg words having a lower-case letter, a character, as well as a number"
~((dog.*..*)+),lines without the string 'dog' before a character once or more times.
dog.*[AEIOUaeiou].*,lines containing a vowel preceded by the string 'dog'
(dog.*[A-Za-z].*).*([AEIOUaeiou]).*,lines with 'dog' followed by a vowel with a letter
(([A-Za-z])|(dog)|(truck)).*(.).*,"lines with a character after a letter, the string 'dog', or the string 'truck'"
(([a-z])+)&([AEIOUaeiou].*[0-9].*),lines with lower-case letter at least once and vowel followed by number
(dog).*([A-Za-z].*[0-9].*).*,lines with string 'dog' before letter followed by number
.*(dog.*[a-z].*)*.*,"lines containing the string 'dog' followed by a lower-case letter, zero or more times in them"
(([0-9])(.*))&(([A-Z]).*(dog).*),lines starting with the string 'dog' after a number and a capital letter
\b(.*)(.)\b,lines with words  ending with only a character
"(.*dog.*).*(([AEIOUaeiou]){4,}).*","lines containing string 'dog' before 'vowel, 4 or more times"
"(\b(.*)(dog)\b){2,}","Lines that have words ending with the string ' dog' , 2 or more times"
~(([AEIOUaeiou])|([a-z])|([A-Za-z])),"lines not having a vowel, lower-case letter, or letter"
.*([A-Za-z])&([a-z])&(dog).*,"lines containing letter, lower-case letter, and string 'dog'"
((.)*)|(.*[a-z].*),lines with zero or more characters or with a lower-case letter
"((.*dog.*){4,}).*([0-9]).*",lines containing 4 or more of the string 'dog' before a number
